MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
EL CONGO,SANTA ANA,1138.20,1088.62,13448,2053,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4564812797220,0.006819533181780,38
APASTEPEQUE,SAN VICENTE,1648.72,1640.98,20892,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6829126303150,0.009699954034270,39
SAN SEBASTIAN,SAN VICENTE,1108.30,1107.18,12050,2199,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4741940703100,0.005699458022220,40
VERAPAZ,SAN VICENTE,558.62,545.71,5382,2249,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2004228776640,0.002009838642560,41
SANTO DOMINGO,SAN VICENTE,360.49,354.16,3441,2220,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2055764415260,0.001286278117330,42
SAN LORENZO,SAN VICENTE,545.85,534.17,5938,2177,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4653955015030,0.003733409581620,43
TEPETITAN,SAN VICENTE,258.74,254.55,3090,2242,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1997027295440,0.001174933383800,44
SAN CAYETANO ISTEPEQUE,SAN VICENTE,486.32,483.44,6185,2148,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1628054715540,0.000979265633123,45
GUADALUPE,SAN VICENTE,207.35,203.02,2559,2068,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1882336607890,0.002028226325620,46
TECOLUCA,SAN VICENTE,1016.76,964.45,11762,2236,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1731514701100,0.023444059165300,47
SAN ILDEFONSO,SAN VICENTE,208.09,203.36,1927,2163,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5260139403960,0.011372901014600,48
ESTANZUELAS,USULUTAN,11.18,10.88,53,2066,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3334936413510,0.005067314635350,49
