MUNICIPIO,departamento,SUPERFICIE SEMBRADA,SUPERFICIE SEMBRADA CON SEMILLA MEJORADA,SUPERFICIE COSECHADA PARA GRANO Y SEMILLA,SUPERFICIE COSECHADA PARA FORRAJE VERDE (Mz),SUPERFICIE COSECHADA PARA ELOTE (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),PRODUCCIÓN PARA FORRAJE VERDE (TM),PRODUCCIÓN PARA ELOTE (CIENTOS),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
TEXISTEPEQUE,SANTA ANA,3868.50,3659.78,3710.08,154.02,1.46,157380,4495,320,2243,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7579299725090,0.014057124001300,31
CANDELARIA DE LA FRONTERA,SANTA ANA,2912.36,2809.47,2894.54,12.14,0.15,111594,363,34,2018,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5649130145920,0.008422705191810,32
SANTA ANA,SANTA ANA,5785.93,5106.25,5750.56,8.60,6.03,215412,173,1512,2203,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.3090799981200,0.034092374344400,33
CIUDAD DELGADO,SANTA ANA,655.65,580.43,629.20,,26.45,27828,,6643,2031,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7457366391510,0.011709601186300,34
EL PORVENIR,SANTA ANA,1400.61,1293.63,1356.36,,27.00,52110,,10800,2057,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2952365597460,0.004042008665850,35
SAN SEBASTIAN SALITRILLO,SANTA ANA,187.35,187.35,187.35,,,7596,,,2200,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2071399223860,0.001558253572980,36
CHALCHUAPA,SANTA ANA,4011.74,3728.78,3907.74,50.00,2.26,156461,2500,544,2021,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8891557411970,0.015327155909800,37
EL CONGO,SANTA ANA,1225.79,1220.39,1210.49,,0.69,59520,,171,2053,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4564812797220,0.006819533181780,38
APASTEPEQUE,SAN VICENTE,3644.06,3601.08,3624.78,10.17,0.63,196607,285,156,2008,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.6829126303150,0.009699954034270,39
SAN SEBASTIAN,SAN VICENTE,1722.46,1531.76,1559.36,17.30,0.80,73386,649,218,2199,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4741940703100,0.005699458022220,40
VERAPAZ,SAN VICENTE,831.61,771.15,829.71,,1.90,38221,,455,2249,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2004228776640,0.002009838642560,41
SANTO DOMINGO,SAN VICENTE,512.30,484.90,512.30,,,21347,,,2220,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2055764415260,0.001286278117330,42
SAN LORENZO,SAN VICENTE,710.99,696.92,710.99,,,34783,,,2177,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4653955015030,0.003733409581620,43
TEPETITAN,SAN VICENTE,365.46,350.10,357.79,,0.27,17696,,45,2242,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1997027295440,0.001174933383800,44
SAN CAYETANO ISTEPEQUE,SAN VICENTE,736.07,694.22,727.15,8.74,1.70,32381,306,499,2148,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1628054715540,0.000979265633123,45
GUADALUPE,SAN VICENTE,395.17,343.09,391.33,,,16692,,,2068,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1882336607890,0.002028226325620,46
TECOLUCA,SAN VICENTE,4644.66,3997.49,4409.74,45.32,52.20,177421,1359,13498,2236,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.1731514701100,0.023444059165300,47
SAN ILDEFONSO,SAN VICENTE,1408.49,1373.99,1401.18,5.00,,62053,100,,2163,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5260139403960,0.011372901014600,48
ESTANZUELAS,USULUTAN,1403.51,1091.92,1384.76,18.74,,37241,562,,2066,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3334936413510,0.005067314635350,49
SAN AGUSTIN,USULUTAN,2170.11,2032.24,2164.79,,0.70,109205,,167,2137,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5879763908180,0.008946458475080,50
BERLIN,USULUTAN,2712.46,1719.93,2662.74,0.14,7.00,105962,3,1955,2011,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5123636906080,0.011867242551700,51
NUEVA GRANADA,USULUTAN,1812.09,1328.57,1784.50,26.63,0.97,51086,729,186,2115,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5087613950220,0.006871773421530,52
EL TRIUNFO,USULUTAN,969.92,688.33,969.92,,,31583,,,2064,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.4620825557560,0.003445279954320,53
